Cours;Intit.Complet
WMEFY2301;Préparation et présentation d'un journal club 1re année 
WMEFY2302;Préparation et présentation d'un journal club 2° année 
WMEFY2303;Préparation et présentation d'un journal club 3° année 
WMEFY2304;Préparation et présentation d'un journal club 4° année 
WMEFY2305;Préparation et présentation d'un journal club 5° année 
WMEFY2311;Questions spéciales de médecine physique et de réadaptation 1re année 
WMEFY2312;Questions spéciales de médecine physique et de réadaptation 2° année 
WMEFY2313;Questions spéciales de médecine physique et de réadaptation 3° année 
WMEFY2314;Questions spéciales de médecine physique et de réadaptation 4° année 
WMEFY2315;Questions spéciales de médecine physique et de réadaptation 5° année 
WMEFY2321;Enseignement interuniversitaire 1re année 
WMEFY2322;Enseignement interuniversitaire 2° année 
WMEFY2373;Travail de fin d'études en médecine physique et de réadaptation 1re partie 
WMEFY2374;Travail de fin d'études en médecine physique et de réadaptation 2° partie 
WMEFY2375;Travail de fin d'étude en médecine physique et réadaptation 3° partie 
WMEFY2381;Stages cliniques de médecine physique et de réadaptation 1re année, 1re partie 
WMEFY2382;Stages cliniques de médecine physique et de réadaptation 2° année, 1re partie 
WMEFY2383;Stages cliniques de médecine physique et de réadaptation 3° année, 1re partie 
WMEFY2384;Stages cliniques de médecine physique et de réadaptation 4° année, 1re partie 
WMEFY2385;Stages cliniques de médecine physique et de réadaptation 5° année, 1re partie 
WMEFY2391;Stages cliniques de médecine physique et de réadaptation 1re année, 2° partie 
WMEFY2392;Stages cliniques de médecine physique et de réadaptation 2° année, 2° partie 
WMEFY2393;Stages cliniques de médecine physique et de réadaptation 3° année, 2° partie 
WMEFY2394;Stages cliniques de médecine physique et de réadaptation 4° année, 2° partie 
WMEFY2395;Stages cliniques de médecine physique et de réadaptation 5° année, 2° partie 
WMEGE2150;Habiletés spécifiques du médecin généraliste (partie 1) 
WMEGE2151;Soins à la personne et à la population (partie 1) 
WMEGE2152;Gestion de la pratique et développement professionnel personnel (partie 1) 
WMEGE2153; Résolution de problèmes spécifiques de médecine générale (partie 1)
WMEGE2154; Questions approfondies de soins à la personne (partie 1)
WMEGE2155; Questions approfondies de soins communautaires (partie 1)
WMEGE2156; Questions approfondies de gestion de cabinet (partie 1)
WMEGE2157; Questions approfondies de développement professionnel (partie 1)
WMEGE2158;Travail personnel, 1re partie : récit de cas 
WMEGE2159;Séminaires de pratique accompagnée (partie 1) 
WMEGE2250;Habiletés spécifiques du médecin généraliste (partie 2) 
WMEGE2251;Soins à la personne et à la population (partie 2) 
WMEGE2252;Gestion de la pratique et développement professionnel personnel (partie 2) 
WMEGE2253;Résolution de problèmes spécifiques de médecine générale (partie 2) 
WMEGE2254;Questions approfondies de soins à la personne (partie 2) 
WMEGE2255;Questions approfondies de soins communautaires (partie2) 
WMEGE2256;Questions approfondies de gestion de cabinet (partie 2) 
WMEGE2257;Questions approfondies de développement professionnel (partie 2) 
WMEGE2258;Travail personnel, 2e partie 
WMEGE2259;Séminaires de pratique accompagnée (partie 2) 
WMEGE2350;Habiletés spécifiques du médecin généraliste (partie 3) 
WMEGE2351;Soins à la personne et à la population (partie 2) 
WMEGE2352;Gestion de la pratique et développement professionnel personnel (3e partie) 
WMEGE2353;Résolution de problèmes spécifiques de médecine générale (3e partie) 
WMEGE2354;Questions approfondies de soins à la personne (3e partie) 
WMEGE2355;Questions approfondies de soins communautaires (3e partie) 
WMEGE2356;Question approfondies de gestion de cabinet (3e partie) 
WMEGE2357;Questions approfondies de développement professionnel (3e partie) 
WMEGE2358;Travail personnel, 3e partie 
WMEGE2359;Séminaires de pratique accompagnée (partie 3) 
WMEGE3002;Travail de fin d'études (2ème partie) 
WMEGE9111;Stage de médecine générale en pratique de médecine générale, 1re année, 1re partie 
WMEGE9112;Stage de médecine générale en pratique de médecine générale, 1re année, 2e partie 
WMEGE9121;Stage de médecine générale en service hospitalier, 1re année, 1re partie 
WMEGE9122;Stage de médecine générale en service hospitalier, 1re année, 2e partie 
WMEGE9211;Stage de médecine générale en pratique de médecine générale, 2e année, 1re partie 
WMEGE9212;Stage de médecine générale en pratique de médecine générale, 2e année, 2e partie 
WMEGE9221;Stage de médecine générale en service hospitalier, 2e année, 1re partie 
WMEGE9222;Stage de médecine générale en service hospitalier, 2e année, 2e partie 
WMEGE9303;Stages de médecine générale chez le généraliste 
WMEGE9304;Stages de médecine générale chez le généraliste 
WMEGE9331;Stage de médecine générale en pratique de médecine générale, 3e année, 1re partie 
WMEGE9332;Stage de médecine générale en pratique de médecine générale, 3e année, 2e partie 
WMEGE9342;Stage de médecine générale en service hospitalier, 3e année, 2e partie 
WMEGE9343;Stage de médecine générale en service hospitalier, 3e année, 1re partie 
WMETR2210;Législation en santé au travail (UCLouvain-ULB) 
WMETR2211;Ergonomie (UCLouvain-ULB) 
WMETR2212;Mesurages en situation de travail (UCLouvain-ULB) 
WMETR2213;Risques chimiques en milieu professionnel 
WMETR2214;Organisation du travail 
WMETR2215;Visites d'entreprises (1ère partie) 
WMETR2216;Toxicologie et pathologies professionnelles 
WMETR2217;Psychopathologie au travail 
WMETR2218;Ophtalmologie et ORL en médecine du travail 
WMETR2219;Statistique, épidémiologie et questionnaire en santé du travail 
WMETR2220;Visites d'entreprises (2ème partie) 
WMETR2221;Stages (1ère partie) 
WMETR2222;Séminaires (1ère partie) 
WMETR2223;Présentation d'un cas de retour au travail 
WMETR2224;Présentation d'une étude de situations de travail 
WMETR2225;Stages (2ème partie) 
WMETR2226;Séminaires (2ème partie) 
WMETR2227;Mémoire 
WMIME2321;Stage 1ère année 1ère partie 
WMIME2322;Stage 2ème année 1ère partie 
WMIME2323;Stage 3ème année 1ère partie 
WMIME2324;Stage 4ème année 1ère partie 
WMIME2331;Stage 1ère année 2ème partie 
WMIME2332;Stage 2ème année 2ème partie 
WMIME2333;Stage 3ème année 2ème partie 
WMIME2334;Stage 4ème année 2ème partie 
WMIME2343;Préparation du travail de fin d'études 
WMIME2344;Travail de fin d'études 
WMLEG2313;Questions spéciales de médecine légale 3e année 
WMLEG2314;Questions spéciales de médecine légale 4e année 
WMLEG2315;Questions spéciales de médecine légale 5e année 
WMLEG2375;Mémoire de médecine légale (publication) 
WMLEG2382;Stages cliniques de médecine légale 2e année 
WMLEG2383;Stages cliniques de médecine légale 3e année 
WMLEG2384;Stages cliniques en médecine légale 4e année 
WMLEG2385;Stages cliniques de médecine légale 5e année 
WMNUC2100;Applications de la médecine nucléaire in vivo 
WMNUC2325;Mémoire de médecine nucléaire 
WMNUC2344;Utilisation des radioisotopes 
WMNUC2354;Démonstrations, techniques et protocoles de médecine nucléaire in vivo 
WMNUC2383;Stages cliniques de médecine nucléaire 3e année, 1re partie 
WMNUC2384;Stages cliniques de médecine nucléaire 4e année, 1re partie 
WMNUC2385;Stages cliniques de médecine nucléaire 5e année, 1re partie 
WMNUC2393;Stages cliniques de médecine nucléaire 3e année, 2e partie 
WMNUC2394;Stages cliniques de médecine nucléaire 4e année, 2e partie 
WMNUC2395;Stages cliniques de médecine nucléaire 5e année, 2e partie 
WMNUC3120;Technology and techniques in nuclear medicine 
WMPHM2200;Thesis : integration of statistical and epidemiological methods in practice (UCLouvain/ULB) 
WMPHM2201;Methods in epidemiology (UCLouvain/ULB) 
WMPHM2202;Clinical-decision making  (UCLouvain) 
WMPHM2203;Clinical trials and vaccine development studies (UCLouvain) 
WMPHM2204;Impact of environment on health in developing countries with disease mapping and multilevel analysis methods (UCLouvain) 
WMPHM2207;Endemic, epidemic, and emerging zoonotic diseases (UCLouvain) 
WMPHM2208;Universal rights and UN programmes (UCLouvain) 
WMPHM2209;Non-governmental actors : methods of research (UCLouvain) 
WMPHM2210;Health economics & Risk management (UCLouvain/UMons) 
WMPHM2211;Post-conflict and disaster epidemiology (UCLouvain) 
WMURC2381;Stages cliniques de médecine d'urgence (certificat), 1ere année, 1re partie 
WMURC2382;Stages cliniques de médecine d'urgence (certificat), 2e année, 1re partie 
WMURC2391;Stages cliniques de médecine d'urgence (certificat), 1ère année, 2e partie 
WMURC2392;Stages cliniques de médecine d'urgence (certificat), 2e année, 2e partie 
WMURG2301;Compléments de médecine d'urgence, 1re année 
WMURG2302;Compléments de médecine d'urgence, 2e année 
WMURG2303;Compléments de médecine d'urgence, 3e année 
WMURG2304;Compléments de médecine d'urgence, 4e année 
WMURG2315;Compléments de médecine d'urgence, 5e année 
WMURG2321;Séminaire de médecine d'urgence, 1re année 
WMURG2322;Séminaire de médecine d'urgence, 2e année 
WMURG2323;Séminaire de médecine d'urgence, 3e année 
WMURG2324;Séminaire de médecine d'urgence, 4e année 
WMURG2374;Mémoire de médecine d'urgence, 1re partie 
WMURG2375;Mémoire de médecine d'urgence, 1re partie 
WMURG2376;Mémoire de médecine d'urgence, 2e partie 
WMURG2381;Stages cliniques de médecine d'urgence, 1re année, 1re partie 
WMURG2382;Stages cliniques de médecine d'urgence, 2e année, 1re partie 
WMURG2383;Stages cliniques de médecine d'urgence, 3e année, 1re partie 
WMURG2384;Stages cliniques de médecine d'urgence, 4e année, 1re partie 
WMURG2385;Stages cliniques de médecine d'urgence, 5e année, 1re partie 
WMURG2386;Stages cliniques de médecine d'urgence, 6e année, 1re partie 
WMURG2391;Stages cliniques de médecine d'urgence, 1re année, 2e partie 
WMURG2392;Stages cliniques de médecine d'urgence, 2e année, 2e partie 
WMURG2393;Stages cliniques de médecine d'urgence, 3e année, 2e partie 
WMURG2394;Stages cliniques de médecine d'urgence, 4e année, 2e partie 
WMURG2395;Stages cliniques de médecine d'urgence, 5e année, 2e partie 
WMURG2396;Stages cliniques de médecine d'urgence, 6e année, 2e partie 
WNECH2313;Questions spéciales de neurochirurgie (U ou IU) 3e année 
WNECH2314;Questions spéciales de neurochirurgie (U ou IU) 4e année 
WNECH2315;Questions spéciales de neurochirurgie (U ou IU), 5e année 
WNECH2316;Questions spéciales de neurochirurgie (U ou IU), 6e année 
WNECH2375;Mémoire de neurochirurgie, 1re partie 
WNECH2376;Mémoire de neurochirurgie, 2e partie 
WNECH2383;Stages cliniques de neurochirurgie 3e année, 1re partie 
WNECH2384;Stages cliniques de neurochirurgie, 4e année, 1re partie 
WNECH2385;Stages cliniques de neurochirurgie, 5e année, 1re partie 
WNECH2386;Stages cliniques de neurochirurgie, 6e année, 1re partie 
WNECH2393;Stages cliniques de neurochirurgie 3e année, 2e partie 
WNECH2394;Stages cliniques de neurochirurgie, 4e année, 2e partie 
WNECH2395;Stages cliniques de neurochirurgie 5e année, 2e partie 
WNECH2396;Stages cliniques de neurochirurgie, 6e année, 2e partie 
WNEFR2311;Questions approfondies de néphrologie (U ou IU) 1re année 
WNEFR2372;Mémoire de néphrologie 
WNEFR2381;Stages cliniques de néphrologie 1ère année, 1ère partie 
WNEFR2382;Stages cliniques de néphrologie 2ème année, 1re partie 
WNEFR2391;Stages cliniques de néphrologie 1ère année, 2° partie 
WNEFR2392;Stages cliniques de néphrologie 2° année, 2° partie 
WNEPE2310;Compléments de neurologie infantile 
WNEPE2311;Diagnostics différentiels en neurologie infantile 
WNEPE2321;Séminaire de neurologie infantile, 1re année 
WNEPE2322;Diplôme interuniversitaire en neurologie pédiatrique, 2e partie (examen) 
WNEPE2371;Diplôme interuniversitaire en neurologie pédiatrique, 1re partie (examen) 
WNEPE2372;Mémoire de neurologie pédiatrique 
WNEPE2381;Stages cliniques de neurologie pédiatrique, 1re année, 1re partie 
WNEPE2382;Stages cliniques de neurologie pédiatrique, 2e année, 1re partie 
WNEPE2391;Stages cliniques de neurologie pédiatrique, 1re année, 2e partie 
WNEPE2392;Stages cliniques de neurologie pédiatrique, 2e année, 2e partie 
WNEUR2190;Questions cliniques de neurologie 
WNEUR2311;Enseignement théorique et pratique en neurologie, 1ère année, 1ère partie 
WNEUR2312;Enseignement théorique et pratique en neurologie, 2ème année, 1ère partie 
WNEUR2313;Enseignement théorique et pratique en neurologie, 3ème année, 1ère partie 
WNEUR2314;Enseignement théorique et pratique en neurologie, 4ème année, 1ère partie 
WNEUR2315;Enseignement théorique et pratique en neurologie, 5ème année, 1ère partie 
WNEUR2331;Enseignement théorique et pratique en neurologie, 1ère année, 2ème partie 
WNEUR2332;Enseignement théorique et pratique en neurologie, 2ème année, 2ème partie 
WNEUR2333;Enseignement théorique et pratique en neurologie, 3ème année, 2ème partie 
WNEUR2334;Enseignement théorique et pratique en neurologie, 4ème année, 2ème partie 
WNEUR2335;Enseignement théorique et pratique en neurologie, 5ème année, 2ème partie 
WNEUR2375;Travail de fin d'études en neurologie 
WNEUR2381;Stages cliniques de neurologie, 1re année, 1re partie 
WNEUR2382;Stages cliniques de neurologie, 2e année, 1re partie 
WNEUR2383;Stages cliniques en neurologie, 3° année, 1re partie 
WNEUR2384;Stages cliniques de neurologie, 4° année, 1re partie 
WNEUR2385;Stages cliniques en neurologie, 5° année, 1re partie 
WNEUR2391;Stages cliniques de neurologie, 1re année, 2° partie 
WNEUR2392;Stages cliniques de neurologie, 2e année, 2e partie 
WNEUR2393;Stages cliniques de neurologie, 3° année, 2° partie 
WNEUR2394;Stages cliniques de neurologie, 4° année, 2° partie 
WNEUR2395;Stages cliniques en neurologie, 5° année, 2° partie 
WOBST2161;Compléments de gynécologie et d'infertilité 
WOBST2162;Compléments d'andrologie et volet masculin de la fécondation in vitro 
WOBST2180;Médecine foetale 
WOBST2311;Questions spéciales de gynécologie-obstétrique 1re année 
WOBST2312;Questions spéciales de gynécologie-obstétrique 2e année 
WOBST2313;Questions spéciales de gynécologie-obstétrique 3e année 
WOBST2314;Questions spéciales de gynécologie-obstétrique 4e année 
WOBST2342;Formation universitaire spécifique (évaluation des connaissances) 
WOBST2344;Formation interuniversitaire (évaluation des connaissances) 
WOBST2375;Travail de fin d'études de gynécologie-obstétrique 
WOBST2381;Stages cliniques de gynécologie-obstétrique 1re année, 1re partie 
WOBST2382;Stages cliniques de gynécologie-obstétrique 2e année, 1re partie 
WOBST2383;Stages cliniques de gynécologie-obstétrique 3e année, 1re partie 
WOBST2384;Stages cliniques de gynécologie-obstétrique 4e année, 1re partie 
WOBST2385;Stages cliniques de gynécologie-obstétrique 5e année, 1re partie 
WOBST2391;Stages cliniques de gynécologie-obstétrique 1re année, 2e partie 
WOBST2392;Stages cliniques de gynécologie-obstétrique 2e année, 2e partie 
WOBST2393;Stages cliniques de gynécologie-obstétrique 3e année, 2e partie 
WOBST2394;Stages cliniques de gynécologie-obstétrique 4e année, 2e partie 
WOBST2395;Stages cliniques de gynécologie-obstétrique 5e année, 2e partie 
WOFTA2120;Compléments d'ophtalmologie 
WOFTA2301;Compléments d'ophtalmologie 1re année 
WOFTA2302;Compléments d'ophtalmologie 2e année 
WOFTA2313;Questions approfondies d'ophtalmologie 3e année 
WOFTA2314;Questions approfondies d'ophtalmologie 4e année 
WOFTA2321;Séminaires d'ophtalmologie 1re année 
WOFTA2322;Séminaires d'ophtalmologie 2e année 
WOFTA2374;Travail de fin d'études d'ophtalmologie 
WOFTA2381;Stages cliniques d'ophtalmologie 1re année, 1re partie 
WOFTA2382;Stages cliniques d'ophtalmologie 2e année, 1re partie 
WOFTA2383;Stages cliniques d'ophtalmologie 3e année, 1re partie 
WOFTA2384;Stages cliniques d'ophtalmologie 4e année, 1re partie 
WOFTA2391;Stages cliniques d'ophtalmologie 1re année, 2e partie 
WOFTA2392;Stages cliniques d'ophtalmologie 2e année, 2e partie 
WOFTA2393;Stages cliniques d'ophtalmologie 3e année, 2e partie 
WOFTA2394;Stages cliniques d'ophtalmologie 4e année, 2e partie 
WONCO2314;Questions approfondies d'oncologie médicale (U ou IU) 4e année 
WONCO2315;Questions approfondies d'oncologie médicale (U ou IU) 5e année 
WONCO2316;Questions approfondies d'oncologie médicale (U ou IU), 6e année 
WONCO2375;Travail de fin d'études en oncologie médicale 1re partie 
WONCO2376;Travail de fin d'études en oncologie médicale 2e partie 
WONCO2384;Stages cliniques d'oncologie médicale 4e année, 1re partie 
WONCO2385;Stages cliniques d'oncologie médicale 5e année, 1re partie 
WONCO2386;Stages cliniques d'oncologie médicale 6e année, 1re partie 
WONCO2394;Stages cliniques d'oncologie médicale 4e année, 2° partie 
WONCO2395;Stages cliniques d'oncologie médicale 5e année, 2e partie 
WONCO2396;Stages cliniques d'oncologie médicale 6e année, 2e partie 
WONDI2311;Séminaires d'oncologie digestive 
WONDI2312;Séminaires d'oncologie digestive 
WONDI2321;Participation aux réunions du Groupe belge d'oncologie digestive (BGDO) 
WONDI2322;Participation aux réunions du Groupe belge d¿oncologie digestive (BGDO) 
WONDI2371;Mémoire en oncologie digestive, 1re partie 
WONDI2372;Mémoire en oncologie digestive, 2e partie 
WONDI2381;Stages en oncologie médicale (6 mois) 
WONDI2382;Stages en oncologie digestive 
WONTO2311;Séminaires d'oncologie thoracique 
WONTO2312;Séminaires d'oncologie thoracique 
WONTO2321;Participation aux réunions scientifiques extérieures 
WONTO2322;Participation aux réunions scientifiques extérieures 
WONTO2371;Mémoire en oncologie thoracique, 1re partie 
WONTO2372;Mémoire en oncologie thoracique, 2e partie 
WONTO2381;Stages en oncologie médicale (6 mois) 
WONTO2382;Stages en oncologie thoracique 
WORL2112;Consultations journalières en oto-rhino-laryngologie 
WORL2130;Phoniatrie 
WORL2311;Questions spéciales d'oto-rhino-laryngologie (IU) 1re année 
WORL2312;Questions spéciales d'oto-rhino-laryngologie, 2e année 
WORL2313;Questions spéciales d'oto-rhino-laryngologie, 3e année 
WORL2314;Questions spéciales d'oto-rhino-laryngologie, 4e année 
WORL2315;Questions spéciales d'oto-rhino-laryngologie, 5e année 
WORL2331;Séminaires d'oto-rhino-laryngologie, 1re année 
WORL2332;Séminaires d'oto-rhino-laryngologie, 2e année 
WORL2333;Séminaires d'oto-rhino-laryngologie, 3e année 
WORL2334;Séminaires d'oto-rhino-laryngologie, 4e année 
WORL2335;Séminaires d'oto-rhino-laryngologie, 5e année 
WORL2341;Participation aux réunions de la Société royale belge d'Oto-rhino-laryngologie et de chirurgie cervico-faciale, 1re année 
WORL2342;Participation aux réunions de la Société royale belge d'Oto-rhino-laryngologie et de chirurgie cervico-faciale, 2e année 
WORL2343;Participation aux réunions de la Société royale belge d'oto-rhino-laryngologie et de chirurgie cervico-faciale, 3e année 
WORL2344;Participation aux réunions de la Société royale belge d'Oto-rhino-laryngologie et de chirurgie cervico-faciale, 4e année 
WORL2345;Participation aux réunions de la Société royale belge d'oto-rhino-laryngologie et de chirurgie cervico-faciale, 5e année 
WORL2375;Travail de fin d'études d'oto-rhino-laryngologie 
WORL2381;Stages cliniques d'oto-rhino-laryngologie, 1re année, 1re partie 
WORL2382;Stages cliniques d'oto-rhino-laryngologie, 2e année, 1re partie 
WORL2383;Stages cliniques d'oto-rhino-laryngologie, 3e année, 1re partie 
WORL2384;Stages cliniques d'oto-rhino-laryngologie, 4e année, 1re partie 
WORL2385;Stages cliniques d'oto-rhino-laryngologie, 5e année, 1re partie 
WORL2391;Stages cliniques d'oto-rhino-laryngologie, 1re année, 2e partie 
WORL2392;Stages cliniques d'oto-rhino-laryngologie, 2e année, 2e partie 
WORL2393;Stages cliniques d'oto-rhino-laryngologie, 3e année, 2e partie 
WORL2394;Stages cliniques d'oto-rhino-laryngologie, 4e année, 2e partie 
WORL2395;Stages cliniques d'oto-rhino-laryngologie, 5e année, 2e partie 
WORTD3000;Questions spéciales en orthodontie, 1e année (1er quadrimestre) 
WORTD3001;Questions spéciales en orthodontie, 1e année (2e quadrimestre) 
WORTD3002;Stage clinique en orthodontie, 1e année (1er & 2e quadrimestres) 
WORTD3003;Stage clinique en orthodontie, 1e année (3e quadrimestre) 
WORTD3004;Enseignement préclinique en orthodontie, 1e année 
WORTD3005;Questions spéciales en orthodontie, 2e année (1er quadrimestre) 
WORTD3006;Questions spéciales en orthodontie, 2e année (2e quadrimestre) 
WORTD3007;Stage clinique en orthodontie, 2e année (1er & 2e quadrimestres) 
WORTD3008;Stage clinique en orthodontie, 2e année (3e quadrimestre) 
WORTD3009;Enseignement préclinique en orthodontie, 2e année 
WORTD3010;Mémoire en orthodontie, 1e partie 
WORTD3011;Questions spéciales en orthodontie, 3e année (1er quadrimestre) 
WORTD3012;Questions spéciales en orthodontie, 3e année (2e quadrimestre) 
WORTD3013;Stage clinique en orthodontie, 3e année (1er & 2e quadrimestres) 
WORTD3014;Stage clinique en orthodontie, 3e année (3e quadrimestre) 
WORTD3015;Enseignement préclinique en orthodontie, 3e année 
WORTD3016;Mémoire en orthodontie, 2e partie 
WORTD3017;Questions spéciales en orthodontie, 4e année (1er quadrimestre) 
WORTD3018;Questions spéciales en orthodontie, 4e année (2e quadrimestre) 
WORTD3019;Stage clinique en orthodontie, 4e année (1er & 2e quadrimestres) 
WORTD3020;Stage clinique en orthodontie avec présentation des cas traités, 4e année (3e quadrimestre) 
WORTD3021;Enseignement préclinique en orthodontie, 4e année 
WORTD3022;Mémoire en orthodontie, 3e partie 
WORTO2311;Questions spéciales de chirurgie orthopédique 1re année (U ou IU) 
WORTO2312;Questions spéciales de chirurgie orthopédique (U ou IU) 2° année 
WORTO2313;Questions spéciales de chirurgie orthopédique (U et IU), 3° année 
WORTO2314;Questions spéciales de chirurgie orthopédique (U et IU), 4° année 
WORTO2315;Questions spéciales de chirurgie orthopédique (U et IU), 5° année 
WORTO2316;Questions spéciales de chirurgie orthopédique (U et IU), 6° année 
WORTO2326;Mémoire de chirurgie orthopédique 
WORTO2381;Stages cliniques de chirurgie ou d'urgence ou de chirurgie orthopédique 1re année, 1re partie 
WORTO2382;Stages cliniques de chirurgie ou d'urgence ou de chirurgie orthopédique 2° année, 1re partie 
WORTO2383;Stages cliniques de chirurgie orthopédique, 3° année, 1re partie 
WORTO2384;Stages cliniques de chirurgie orthopédique, 4° année, 1re partie 
WORTO2385;Stages cliniques de chirurgie orthopédique, 5° année, 1re partie 
WORTO2386;Stages cliniques de chirurgie orthopédique, 6° année, 1re partie 
WORTO2391;Stages cliniques de chirurgie ou d'urgence ou de chirurgie orthopédique 1re année, 2° partie 
WORTO2392;Stages cliniques de chirurgie ou d'urgence ou de chirurgie orthopédique 2° année, 2° partie 
WORTO2393;Stages cliniques de chirurgie orthopédique, 3° année, 2° partie 
WORTO2394;Stages cliniques de chirurgie orthopédique, 4° année, 2° partie 
WORTO2395;Stages cliniques de chirurgie orthopédique, 5° année, 2° partie 
WORTO2396;Stages cliniques de chirurgie orthopédique, 6° année, 2° partie 
WPARO2017;Éléments de parodontologie spéciale : introduction 
WPARO2018;Séminaires de parodontologie, 1e année (1er quadrimestre) 
WPARO2019;Séminaires de parodontologie, 1e année (2e quadrimestre) 
WPARO2020;Encadrement préclinique en parodontologie, 1e année 
WPARO2021;Stage clinique en parodontologie, 1e année (1er & 2e quadrimestres) 
WPARO2022;Stage clinique en parodontologie, 1e année (3e quadrimestre) 
WPARO2023;Mémoire en parodontologie, 1e partie 
WPARO2024;Éléments de parodontologie, y compris la petite chirurgie parodontale (1er quadrimestre) 
WPARO2025;Éléments de parodontologie, y compris la petite chirurgie parodontale (2e quadrimestre) 
WPARO2026;Séminaires de parodontologie, 2e année (1er quadrimestre) 
WPARO2027;Séminaires de parodontologie, 2e année (2e quadrimestre) 
WPARO2028;Encadrement préclinique en parodontologie, 2e année 
WPARO2029;Stage clinique en parodontologie, 2e année (1er & 2e quadrimestres) 
WPARO2030;Stage clinique en parodontologie, 2e année (3e quadrimestre) 
WPARO2031;Mémoire en parodontologie, 2e partie 
WPARO2032;Éléments de parodontologie, y compris les techniques de régénération tissulaire et d'implantologie (1er quadrimestre) 
WPARO2033;Éléments de parodontologie, y compris les techniques de régénération tissulaire et d'implantologie (2e quadrimestre) 
WPARO2034;Séminaires de parodontologie, 3e année (1er quadrimestre) 
WPARO2035;Séminaires de parodontologie, 3e année (2e quadrimestre) 
WPARO2036;Encadrement préclinique en parodontologie, 3e année 
WPARO2037;Stage clinique en parodontologie, 3e année (1er & 2e quadrimestres) 
WPARO2038;Stage clinique en parodontologie, 3e année (3e quadrimestre) 
WPARO2039;Mémoire en parodontologie, 3e partie 
WPEDI2140;Cardiologie pédiatrique 
WPEDI2190; Formation complémentaire en médecine préventive du nourrisson et du jeune enfant
WPEDI2300;Enseignement préparatoire à la spécialisation en pédiatrie 
WPEDI2311;Questions spéciales de pédiatrie (U et IU), 1re année 
WPEDI2312;Questions spéciales de pédiatrie (U et IU), 2e année 
WPEDI2313;Questions spéciales de pédiatrie (U et IU), 3e année 
WPEDI2314;Questions spéciales de pédiatrie (U et IU), 4e année 
WPEDI2315;Questions spéciales de pédiatrie (U et IU), 5e année 
WPEDI2372;Mémoire de pédiatrie (fin de FUS) 
WPEDI2375;Mémoire de pédiatrie (fin de formation) 
WPEDI2381;Stages cliniques de pédiatrie, 1re année, 1re partie 
WPEDI2382;Stages cliniques de pédiatrie, 2e année, 1re partie 
WPEDI2383;Stages cliniques de pédiatrie, 3e année, 1re partie 
WPEDI2384;Stages cliniques de pédiatrie, 4e année, 1re partie 
WPEDI2385;Stages cliniques de pédiatrie, 5e année, 1re partie 
WPEDI2391;Stages cliniques de pédiatrie, 1re année, 2e partie 
WPEDI2392;Stages cliniques de pédiatrie, 2e année, 2e partie 
WPEDI2393;Stages cliniques de pédiatrie, 3e année, 2e partie 
WPEDI2394;Stages cliniques de pédiatrie, 4e année, 2e partie 
WPEDI2395;Stages cliniques de pédiatrie, 5e année, 2e partie 
WPMTX2001;Drug life cycle 
WPMTX2002;Concepts of multilevel, longitudinal, and mixed models 
WPMTX2003;Basic concepts of pharmacokinetics and pharmacodynamics 
WPMTX2004;Data management 
WPMTX2005;Integrative work 1 
WPMTX2006;Modeling 
WPMTX2007;Simulation 
WPMTX2008;Integrative work 2 
WPMTX2009;Physiologically-based pharmacokinetics modeling and simulation 
WPMTX2010;Integrative work 3 
WPMTX2011;Master thesis 
WPNEU2110;Compléments de pneumologie 
WPNEU2120;Compléments d'allergologie clinique 
WPNEU2314;Questions spéciales de pneumologie (U et IU), 4e année 
WPNEU2315;Questions spéciales de pneumologie (U et IU) 5e année 
WPNEU2316;Questions spéciales de pneumologie (U et IU) 6e année 
WPNEU2376;Mémoire de pneumologie 
WPNEU2384;Stages cliniques de pneumologie 4e année, 1re partie 
WPNEU2385;Stages cliniques de pneumologie 5e année, 1re partie 
WPNEU2386;Stages cliniques de pneumologie 6e année, 1re partie 
WPNEU2394;Stages cliniques de pneumologie 4e année, 2e partie 
WPNEU2395;Stages cliniques de pneumologie 5e année, 2e partie 
WPNEU2396;Stages cliniques de pneumologie 6e année, 2e partie 
WPSAD2301;Compléments psychiatrie de l'adulte, 1re partie 
WPSAD2302;Compléments de psychiatrie de l'adulte, 2° partie 
WPSAD2303;Compléments de psychiatrie de l'adulte, 3e partie 
WPSAD2304;Compléments de psychiatrie de l'adulte, 4e partie 
WPSAD2305;Compléments de psychiatrie de l'adulte, 5e partie 
WPSAD2311;Questions spéciales de psychiatrie de l'adulte, 1re partie 
WPSAD2312;Questions spéciales de psychiatrie de l'adulte, 2e partie 
WPSAD2313;Questions spéciales de psychiatrie de l'adulte, 3e partie 
WPSAD2314;Questions spéciales de psychiatrie de l'adulte, 4e partie 
WPSAD2315;Questions spéciales de psychiatrie de l'adulte, 5e partie 
WPSAD2376;Mémoire de psychiatrie de l'adulte (présentation orale) 
WPSAD2381;Stages cliniques de psychiatrie de l'adulte, 1re année, 1re partie 
WPSAD2382;Stages cliniques de psychiatrie de l'adulte, 2e année, 1re partie 
WPSAD2383;Stages cliniques de psychiatrie de l'adulte, 3e année, 1re partie 
WPSAD2384;Stages cliniques de psychiatrie de l'adulte, 4e année, 1re partie 
WPSAD2385;Stages cliniques de psychiatrie de l'adulte, 5e année, 1re partie 
WPSAD2391;Stages cliniques de psychiatrie de l'adulte, 1re année, 2e partie 
